Lat,Lon,Time Range,Vessel IDs,Apparent Fishing Hours
48.950000,-125.420000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.00
48.950000,-125.190000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,3.72
48.860000,-125.310000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",3,11.79
48.960000,-125.080000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,1.37
48.940000,-125.100000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.70
48.950000,-125.280000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,1.10
48.880000,-125.290000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,5.21
48.940000,-125.020000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,3.09
48.890000,-125.300000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.90
48.900000,-125.250000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,1.29
48.940000,-124.990000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,12.80
48.980000,-125.310000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.03
48.940000,-125.290000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.57
48.850000,-125.210000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.82
48.930000,-125.240000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,5.81
48.870000,-125.160000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,3.74
48.840000,-125.210000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.12
48.940000,-125.230000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",3,34.73
48.920000,-125.450000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,0.18
48.940000,-125.110000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",3,3.70
48.910000,-125.060000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,21.57
48.940000,-125.200000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.89
48.900000,-125.500000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.34
48.930000,-125.230000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",3,3.98
48.940000,-125.440000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.80
48.840000,-125.330000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.59
48.950000,-124.980000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,6.63
48.950000,-125.400000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.97
48.880000,-125.050000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.08
48.810000,-125.390000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.34
48.840000,-125.350000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.64
48.840000,-125.180000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,12.01
48.910000,-125.140000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,16.88
48.950000,-125.290000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.98
48.880000,-125.450000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.21
48.800000,-125.210000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",3,4.62
48.800000,-125.270000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.75
48.880000,-125.160000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.16
48.880000,-125.280000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.55
48.810000,-125.380000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.75
48.890000,-125.440000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,3.31
48.880000,-125.080000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",3,4.60
48.940000,-125.390000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.31
48.830000,-125.150000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.17
48.880000,-125.380000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.89
48.900000,-125.220000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.25
48.950000,-125.080000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.68
48.950000,-125.010000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.57
48.970000,-125.160000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,2.14
48.900000,-125.240000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.71
48.910000,-125.470000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",3,3.99
48.910000,-125.340000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,3.53
48.960000,-125.380000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,1.06
48.920000,-125.460000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",2,2.03
48.810000,-125.370000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,0.18
48.950000,-125.390000,"2022-04-01T00:00:00.000Z,2023-04-01T00:00:00.000Z",1,3.04
