Lat,Lon,Time Range,Vessel IDs,Apparent Fishing Hours
48.970000,-125.330000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,2.86
48.870000,-125.190000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.52
48.830000,-125.160000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.97
48.810000,-125.340000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.68
48.920000,-125.170000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.33
48.900000,-125.220000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.22
48.860000,-125.390000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.05
48.860000,-125.310000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.82
48.860000,-125.130000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",4,34.41
48.800000,-125.290000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,5.83
48.840000,-125.250000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.31
48.950000,-125.070000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,9.02
48.930000,-125.370000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.00
48.800000,-125.210000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",3,2.54
48.840000,-125.150000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",3,9.19
48.860000,-125.160000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.64
48.960000,-125.340000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.95
48.870000,-125.290000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.65
48.920000,-125.310000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.66
48.820000,-125.190000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",3,8.05
48.830000,-125.270000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,2.01
48.840000,-125.220000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.85
48.790000,-125.260000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,5.08
48.870000,-125.210000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.94
48.890000,-125.260000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.06
48.870000,-125.480000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.10
48.800000,-125.250000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,28.80
48.800000,-125.240000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,6.61
48.930000,-125.440000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,2.44
48.890000,-125.110000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.94
48.810000,-125.250000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,3.75
48.900000,-125.230000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.75
48.850000,-125.140000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",4,46.31
48.820000,-125.400000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.98
48.940000,-125.440000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,2.94
48.890000,-125.300000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.35
48.880000,-125.090000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,2.88
48.940000,-125.240000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,3.99
48.870000,-125.310000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.07
48.940000,-125.400000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.05
48.900000,-125.510000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,2.75
48.800000,-125.220000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.96
48.850000,-125.440000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,0.98
48.940000,-125.270000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.84
48.800000,-125.260000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,4.76
48.810000,-125.220000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,3.97
48.870000,-125.130000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",2,7.54
48.930000,-125.460000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,3.29
48.900000,-125.420000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.04
48.860000,-125.480000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.05
48.850000,-125.130000,"2021-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z",1,1.19
