Transect,Photo#,photo score,transect score,#urchins,#snails,primary_sub,secondary_sub,,"Notes (% cover for each, other important things to know etc.)",,Total snails,Real total snails,,Total snails,real total snails
BMSC6_TB9m22042024BaeriaRocksSouth,16,4,"4, 3",4,0,6,3,,"90% boulders with shell hash mixed in, possibly on eurchin visible only by spines, --- very poor vis",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,17,4,"4, 3",3,0,6,3,,"80% boulders with 15% shell hash and some sand, --- poor vis",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,18,3,"4, 3",9,1,3,6,,"60% shell hash with 30% boulders and then a few cobbles, lots of cucu, --- poor vis",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,19,4,"4, 3",7,0,6,3,,"85% boulders with 15% shell hash, 4 black urchins, one urchin visible only by spines, --- low vis",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,20,4,"4, 3",5,0,7,7,,"100% solid rock, 2 black urchins, --- low to ok vis",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,21,4,"4, 3",7,1,7,5,,"50% solid rock, 40% cobbles and remainder shell hash, one urchin visible by spines only, 3 black urchins, --- low vis",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,22,3,"4, 3",4,0,6,3,,"40% boulders , 30% shell hash and then some cobbles, lots of cucu, --- poor vis",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,23,4,"4, 3",2,0,6,3,,"55% boulders and 45% shell hash, one urchin visible only by spines, --- poor vis",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,24,3,"4, 3",8,0,6,3,,"55% boulders and 40% shell hash and a couple of cobbles, 5 black urchins, --- poor vis",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,25,3,"4, 3",1,0,3,6,,"65% shell hash and 35% boulder,  --- low vis",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,26,3,"4, 3",3,0,6,3,,"80% boulders and 20% shell hash, ---- poor to low vis",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,27,not visible,"4, 3",0,0,7,2,,"65% solid rock and what appears to be pockets of sand, --- extremely poor vis, not possible to identify animals",,,,,,
BMSC6_TB9m22042024BaeriaRocksSouth,28,4,"4, 3",7,4,7,7,,"100% solid rock, 2 urchins visible only by spines --- very poor in background to low vis in foreground",,,,,,
BMSC11_TB5m26042024WizardS,3,4,"4, 2",2,0,7,7,,"100% solid rock, one ruchin visible by only spines, ---ok vis",,23,262,,,
BMSC11_TB5m26042024WizardS,4,4,"4, 2",3,7,7,2,,"95% solid rock with some pockets of sand, all the snails are quite small (maybe not PGI), one urchin visible only by spines, one black urchin --- good vis",,,,,,
BMSC11_TB5m26042024WizardS,5,4,"4, 2",3,0,7,2,,"99% solid rock with a small patch of sand, 2 black urchins, --- good vis",,,,,,
BMSC11_TB5m26042024WizardS,6,4,"4, 2",2,0,7,7,,"100% solid rock, 2 black urchins, --- poor vis because photo out of focus",,,,,,
BMSC11_TB5m26042024WizardS,7,4,"4, 2",1,0,7,2,,"99% solid rock with a pocket of sand, one black urchin, --- low vis, out of focus",,,,,,
BMSC11_TB5m26042024WizardS,8,4,"4, 2",2,1,7,2,,"99% solid rock and a pocket of sand, --- ok vis",,,,,,
BMSC11_TB5m26042024WizardS,9,4,"4, 2",7,0,7,2,,"95% solid rock with some sand in troughs, 4 black urchins -- ok vis",,,,,,
BMSC11_TB5m26042024WizardS,10,4,"4, 2",4,3,7,2,,"90% solid rock with pockets of sand, one urchin visible only by spines, --- good vis",,,,,,
BMSC11_TB5m26042024WizardS,11,4,"4, 2",5,0,7,2,,"99% solid rock with one patch of sand covering, one urchin visible only by spines, -- low to ok vis",,,,,,
BMSC11_TB5m26042024WizardS,12,4,"4, 2",3,2,7,2,,"97% solid rock with a few small patches of sand, one black urchin, ---- ok vis",,,,,,
BMSC11_TB5m26042024WizardS,13,4,"4, 2",4,2,7,7,,"100% sold rock, one black urchin, 3 urchins visible only by spines --- good vis",,,,,,
BMSC11_TB5m26042024WizardS,14,4,"4, 2",5,0,7,2,,"95% solid rock with a patch of sand, one black urchin, 2 urchins visible only by spines, --- good vis",,,,,,
BMSC11_TB5m26042024WizardS,15,2,"4, 2",6,1,2,7,,"80% sand with the rest solid rock, 2 black urchins, 2 urchins only visibly by spines, multiple broken PGI shells, --- ok vis",,,,,,
BMSC11_TB5m26042024WizardS,16,4,"4, 2",12,2,7,4,,"80% solid rock and 15% pebbles, some sand, 4 black urchins, 2 urchins only visible by spines, lots of small urchins, -- ok vis",,,,,,
BMSC11_TB5m26042024WizardS,17,4,"4, 2",9,3,7,7,,"100% solid rock, 5 black urchins, 2 urhcins visible only by spines, --- ok to good vis",,,,,,
BMSC11_TB5m26042024WizardS,18,4,"4, 2",5,1,7,2,,"99% solid rock with a tiny dusting of sand in some spots, 2 black urchins, --- good vis",,,,,,
BMSC11_TB5m26042024WizardS,19,4,"4, 2",2,1,7,2,,"98% solid rock with some dusting of sand throughout, 2 urchins visible only by spines, --- good vis",,,,,,
BMSC1_CMA5m25042024DodgerChannel,2,3,"4, 3",0,3,4,7,,80% pebbles with a large chunk of solid rock -- good vis,,190,274,,,
BMSC1_CMA5m25042024DodgerChannel,3,3,"4, 3",1,3,7,3,,"96% solid rock with some small patch of sand, one black urchin, one urchin visible only by spines --- good vis",,,,,,
BMSC1_CMA5m25042024DodgerChannel,4,4,"4, 3",4,1,7,7,,"100% solid rock, one black urchin,--- good vis",,,,,,
BMSC1_CMA5m25042024DodgerChannel,5,3,"4, 3",8,0,6,1,,"70% boulders and lots of kelp, 7 black urchins, one urchin only visible by spines, --- ok vis",,,,,,
BMSC1_CMA5m25042024DodgerChannel,6,4,"4, 3",8,9,1,7,,"51% kelp overtop of solid rock,  3 black urchins, --- ok vis",,,,,,
BMSC1_CMA5m25042024DodgerChannel,7,4,"4, 3",13,16,7,1,,"60% solid rock and 40% kelp overtop, 6 black urchins, --- good vis",,,,,,
BMSC1_CMA5m25042024DodgerChannel,8,3,"4, 3",7,3,6,2,,"60% boulders with a patch of sand in the middle, 5 black urchins, one urchin visible only by spines, good vis",,,,,,
BMSC1_CMA5m25042024DodgerChannel,9,4,"4, 3",4,0,7,7,,"100% solid rock, two black urchins, one urchin visible only by spines, --- good vis",,,,,,
BMSC1_CMA5m25042024DodgerChannel,10,4,"4, 3",2,2,7,6,,"85% solid rock with a few boulders,  2 black urchins,  -- good vis",,,,,,
BMSC1_CMA5m25042024DodgerChannel,11,4,"4, 3",3,0,7,7,,"100% solid rock, 2 black urchins, 1 large pisaster, --- good vis",,,,,,
BMSC1_CMA5m25042024DodgerChannel,12,4,"4, 3",5,3,7,7,,"100% solid rock, 2 urchins visible only by spines, --- good vis",,,,,,
BMSC1_CMA5m25042024DodgerChannel,13,4,"4, 3",6,5,7,7,,"100% solid rock, 4 black urchins, 1 medium pycnopodia, --- good vis",,,,,,
BMSC1_CMA5m25042024DodgerChannel,14,4,"4, 3",7,27,7,1,,"90% solid rock with some kelp stipes and blades, (one possible purple urchin), one urchin only visible by spines, ---ok vis",,,,,,
BMSC1_CMA5m25042024DodgerChannel,15,4,"4, 3",7,4,7,1,,"95% solid rock with some kelp, one urchin visible only by spines, 4 black urchins, --- good vis",,,,,,
BMSC1_CMA5m25042024DodgerChannel,16,4,"4, 3",6,0,7,7,,"100% solid rock, 3 black urchins, urchins eating drift kelp, --- ok vis",,,,,,
BMSC1_CMA5m25042024DodgerChannel,17,4,"4, 3",10,8,7,1,,"60% solid rock with 40% covered by kelp, 1 black urchin, onw urchin visible by spines only, --- good vis",,,,,,
BMSC1_CMA5m25042024DodgerChannel,18,4,"4, 3",1,1,7,7,,"100% solid rock, one black urchin, one urchin visible by spines only, --- good vis",,,,,,
BMSC1_CMA5m25042024DodgerChannel,19,4,"4, 3",3,3,7,7,,"100% solid rock, 2 black urchins, one urchin visible by spines only, --- good vis",,,,,,
BMSC1_CMA5m25042024DodgerChannel,20,4,"4, 3",2,4,7,6,,"60% solid rock with 35% boulders, some sand as well, one black urchin, one urchin visible only by spines, --- good vis",,,,,,
