Lat,Lon,Time Range,geartype,Vessel IDs,Apparent Fishing Hours
48.920000,-125.210000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.70
48.910000,-125.040000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",dredge_fishing,1,2.61
48.850000,-125.200000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,3.07
48.840000,-125.150000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,2,25.06
48.820000,-125.170000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,17.95
48.920000,-125.240000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,2,11.98
48.970000,-125.120000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",pole_and_line,1,0.75
48.910000,-125.500000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,2,2.46
48.920000,-125.230000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,1.18
48.900000,-125.210000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.54
48.850000,-125.210000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,2,7.89
48.920000,-125.330000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,2.21
48.910000,-125.240000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,3.17
48.940000,-125.420000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,3.55
48.950000,-125.250000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trollers,1,0.57
48.930000,-125.460000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,1.06
48.850000,-125.140000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,1.12
48.940000,-125.100000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",dredge_fishing,1,0.64
48.840000,-125.130000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,0.12
48.920000,-125.160000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,4.96
48.950000,-125.040000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,1.53
48.910000,-125.480000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,0.61
48.870000,-125.460000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,1.01
48.830000,-125.150000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",pole_and_line,1,2.52
48.940000,-125.230000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,5.91
48.830000,-125.420000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.09
48.950000,-125.000000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",pole_and_line,1,14.53
48.890000,-125.450000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,2,2.97
48.900000,-125.250000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",inconclusive,1,1.63
48.870000,-125.180000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.73
48.940000,-125.400000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.97
48.950000,-124.990000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",dredge_fishing,1,17.20
48.890000,-125.460000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,5.19
48.840000,-125.130000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,1.00
48.890000,-125.050000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",trollers,1,3.32
48.930000,-125.210000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.94
48.900000,-125.330000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",other_purse_seines,1,0.85
48.870000,-125.110000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,1.53
48.960000,-125.040000,"2023-04-01T00:00:00.000Z,2024-04-01T00:00:00.000Z",fishing,1,0.38
